2016-09-30 10:13:01,286 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:13:01,351 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:13:01,351 | INFO  | Recovery replayed 2 operations from the journal in 0.049 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 10:13:01,382 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:13:01,382 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:13:01,569 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-30 10:13:01,569 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-09-30 10:13:01,569 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:PC308393-61787-1475210581398-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-30 10:13:01,616 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-09-30 10:13:01,788 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-30 10:13:01,850 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-30 10:13:01,944 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-09-30 10:13:01,959 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-09-30 10:13:01,992 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-09-30 10:13:02,008 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-09-30 11:12:38,306 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63369
2016-09-30 11:28:59,198 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63408
2016-09-30 11:58:38,721 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63657
